prop_id,player_name,p_true_over,dk_over_odds,dk_under_odds,is_promo_eligible,dk_decimal_odds,dk_implied_prob,edge,ev_pct,kelly_wager_pct
PROP_0001,Player_1,0.507,-102,-115,False,1.9803921568627452,0.505,0.002,0.0041,0.0021
PROP_0002,Player_2,0.5339,-122,104,False,1.819672131147541,0.5495,-0.0156,-0.0285,0.0
PROP_0003,Player_3,0.5315,-122,104,True,1.819672131147541,0.5495,-0.018,-0.0328,0.0
PROP_0004,Player_4,0.5425,-129,110,True,1.7751937984496124,0.5633,-0.0208,-0.037,0.0
PROP_0005,Player_5,0.5025,-116,-101,False,1.8620689655172413,0.537,-0.0345,-0.0643,0.0
PROP_0006,Player_6,0.5654,-120,103,False,1.8333333333333335,0.5455,0.0199,0.0366,0.0219
PROP_0007,Player_7,0.5737,-189,159,False,1.529100529100529,0.654,-0.0803,-0.1228,0.0
PROP_0008,Player_8,0.5028,-139,118,False,1.7194244604316546,0.5816,-0.0788,-0.1355,0.0
PROP_0009,Player_9,0.5233,-113,-104,True,1.8849557522123894,0.5305,-0.0072,-0.0136,0.0
PROP_0010,Player_10,0.5031,-102,-115,False,1.9803921568627452,0.505,-0.0019,-0.0037,0.0
PROP_0011,Player_11,0.5561,-128,109,False,1.78125,0.5614,-0.0053,-0.0094,0.0
PROP_0012,Player_12,0.5759,-140,119,False,1.7142857142857144,0.5833,-0.0074,-0.0127,0.0
PROP_0013,Player_13,0.5173,-118,101,False,1.847457627118644,0.5413,-0.024,-0.0443,0.0
PROP_0014,Player_14,0.5536,-144,122,False,1.6944444444444444,0.5902,-0.0366,-0.062,0.0
PROP_0015,Player_15,0.5046,-106,-111,False,1.9433962264150944,0.5146,-0.01,-0.0194,0.0
PROP_0016,Player_16,0.5662,-115,-102,False,1.8695652173913042,0.5349,0.0313,0.0585,0.0337
PROP_0017,Player_17,0.5028,-118,100,False,1.847457627118644,0.5413,-0.0385,-0.0711,0.0
PROP_0018,Player_18,0.5422,-144,122,False,1.6944444444444444,0.5902,-0.048,-0.0813,0.0
PROP_0019,Player_19,0.503,-125,106,False,1.8,0.5556,-0.0526,-0.0946,0.0
PROP_0020,Player_20,0.4882,-115,-102,True,1.8695652173913042,0.5349,-0.0467,-0.0873,0.0
PROP_0021,Player_21,0.5477,-127,108,False,1.7874015748031495,0.5595,-0.0118,-0.021,0.0
PROP_0022,Player_22,0.5541,-119,101,True,1.8403361344537816,0.5434,0.0107,0.0197,0.0117
PROP_0023,Player_23,0.4993,-106,-111,False,1.9433962264150944,0.5146,-0.0153,-0.0297,0.0
PROP_0024,Player_24,0.5659,-210,176,True,1.4761904761904763,0.6774,-0.1115,-0.1646,0.0
PROP_0025,Player_25,0.5058,-118,101,False,1.847457627118644,0.5413,-0.0355,-0.0656,0.0
PROP_0026,Player_26,0.5009,-118,100,False,1.847457627118644,0.5413,-0.0404,-0.0746,0.0
